reviewId,content,score
d5d966c4-fdfb-415e-964e-e09c02c063c7,It works for me,1
5ff672d5-5021-4feb-ac2e-d6b8410fe663,home,1
0cf0474e-4627-4271-b91e-c2acd0c26f4f,So nice 👍,5
c35f38c0-ce3c-41c4-ab9a-96eedddb6bdc,Excellent application,5
f25e1d46-511f-420f-b07d-07bce23bb901,Awesome,5
4c5c606a-0872-480f-bea1-9bd425a4a385,D Gd,5
023f05c6-9dc4-418d-b277-1b78113c627e,Wonderful and beautiful,2
825071bd-5e3e-4a12-a78f-4940b568d7a5,Nc,5
37b65fc8-9c2d-43cc-bea2-4fbdb2513817,"Have to uninstall & reinstall 5 times this week due to ""connecting to network"" problem while I'm sure my network was working fine (I can watch YouTube & browsing webs smoothly on the same network while the Messenger keep trying to ""connect to (that same) network"". SO ANNOYING!",1
522d85f2-fbb6-4077-b796-d4fca5b98b88,Good,5
39fb9fe4-d37f-40da-a6f1-a752b59d771a,WORST APP EVER!!!!!!!!!!!!!!!!!!!!!!,1
637d02b1-45b5-47d1-82c9-ed3a97bdeb57,Chue Lat,5
f3bc95b6-3b8e-4402-89e4-2cce9aa13d39,Good 👍,5
4d4e9c2a-1bd0-4cd7-84a0-8b2d8999cbff,Nice,5
183957c9-8256-4906-a01e-ef6db1a0a057,i can't log in my account. It's too loading..,3
e6468c87-cab5-4169-897a-4d19a430f925,👻,3
5ab8951b-42a6-432e-8d42-88f10215e4f2,Very nice,5
39a31830-1006-4159-a78c-2f8a8db1ef98,It sucks!!! It's horrible!!! All of a sudden it blocked all of my messenger..i can't reply to any of my messages,1
da0f827c-f716-4210-a524-0ab4eb705fbf,Good,5
adc1357b-1eb0-43a2-ba98-5e3b6805d82f,Good app,5
e7ea4f5d-80fd-4158-be4f-b7f725d939f8,I love dis aaps i watch a hub,4
0c6bf261-7778-476f-a2f7-aca9572ef0be,Really good,5
438fd0af-1647-4a1b-8ed7-9c8f26690a58,Ok,5
b027b676-7b3e-4c5f-a5a0-edae3472c381,Mast,5
50b5bfb5-f81c-41e0-b06f-48a343e4b7a3,Fast,5
d23fe303-0978-4973-bc25-24457d62c2bc,Lagging all the time,1
567565c6-4c35-46bd-a2bc-5cb607277c43,"I, love the app and is very good",5
6ee6d1c8-c149-4bc6-bf62-c6ad850c65a6,Nice,5
829309b4-5af5-48ee-b9b8-f3514c3dcacc,Very helpful apps when it comes chatting with family and friend..,5
498bac71-2caa-449c-b6a2-e11f56f74234,Very good,4
5aaca5a4-ae31-48c5-81e4-cd90df30c8a2,Ang pangit pag naka dark mode yung theme ng chat Di nakadisplay nakablack Lang ang background or halimbawa heart plain color Lang background ang pangit Hindi tulad dati,1
50e13669-8757-46ff-87c8-aac35aa73add,"the new update is complicated to use, I like the previous update",4
ec8ee0b9-68bc-4222-ac80-9dfff9c86923,Zoom kobe dibi tora,1
297ebc63-8b23-44ba-8dfc-22c74de7c553,Dear messenger team My messenger is not opening Please solve this problem,1
e1df64e6-a524-49b0-af1d-fb6189c6e50c,App,5
26ec5b08-0624-4215-ba31-caf2a68902af,Naice app,5
04be8650-ad4c-4fa0-bc36-209ae72ad94e,It is really good please install it,5
6abb25d5-4c45-4b3b-8604-b9cf904a868b,"Why i can't scroll my old conversation from 'search in conversation"" option, it’s showing that something is wrong... Please fix it soon",4
e58a1ade-5d9a-4bfb-af7b-8a5af542b3f3,Hopi,5
e559b82b-30d2-48a0-b01a-05969c421176,dgha,4
13a69dcc-3a84-4af1-8731-c606c4a452b1,Good,5
ec9b25db-31a0-4d68-ac98-2461e78eb5d1,Messanger don't won't to install,1
283c846d-8225-4ff2-9acd-e8b63899fd06,"I can't believe this. I would give this a 0 star though😭 my favorite games in messenger are gone u are so stupid enough to remove ""ready set cook"" and ""draw it!"" I am gonna give this 5 star if u would add it back but for now. I hate you😭😭😭",1
c73a7463-c688-4a32-9ed0-dfde2a504cad,Its ok,5
9703abfd-f408-4a5a-8dc8-923267768819,Good,3
f26e48f0-9fbf-471a-9ec9-aef2dab82253,The previous version of 2020 was billion times better than the new one,1
15d4b109-801c-4783-93da-97a2b7a3d818,It's really fun everyone should play,5
defe2b05-01fa-4829-8f26-78f6fa0ac434,شبانہ,5
06cc08a2-d293-410c-a00f-81ea73e6d956,"J I have t m c my t। ,d। 7। t। x the ,, 6 , g. N n. ,5t gc. Uuuy,yu⁸,iuuuuuû9",5
100be79c-77c8-4dc8-a250-73ef7eccb3c3,Ggg,5
ae00519c-5eef-4d47-bfdf-7eead767568d,Lots of bugs as of now,2
312147eb-a466-4691-b36c-9e9fb4bdaab4,The new feature moving from Facebook app to Messenger app is unconditionally good for all.,5
c2bb01cd-c300-4f47-8784-51572b864a95,When trying to switch between account always not working . AND marketplace messages always disappeared as FB loves to control ur life . Very annoying,1
549f4052-90d1-4ea5-b547-cbbcf7084938,I'm not use h,1
f88b93e0-17a4-4b46-ad65-b0e4cf031a46,"ফালতু একটা apps, কোনো কাজে আসেনা আমার । সারা দিনে ও একটা মেয়ে মেসেজ দেয়না 😒। আর কোনো মেয়ে কে মেসেজ দিলেও । সে হয়তো রিপ্লাই দেয় না 😡। আর নয়তো দুই দিন পর Angel Neha থেকে কুদ্দুস আলী হয়ে যাই!😒 Very very Bad apps😭😭",1
76b61141-4943-48d1-a84c-2f70ff7c0faf,Good,4
c5fe9efe-6b18-4b2d-a653-52b48d9c8720,Not so bad 😃,5
5ae94c51-23ca-47bb-babd-dfffc3558737,Cool,5
0ffecc57-2a82-4791-93da-3dc23c7d941b,good,4
c278d334-294a-4190-a8d8-88cd00378146,nice,5
bf27ba12-b19b-48ae-bdc8-4b1ed9f27f19,"Terrible. I was very disappointed when i can't open and just got update. Its take a while and its always happens recently,call is sometimes very disappointing because its always cut the internet connection in between,and if i was on game i already put in focus game yet i can still get notifications from messenger and my play suddenly become lag its so annoying. Can you fix some of bug issue its irritating really.",2
23ba5576-5d29-439b-8f1f-0aca67c508ed,Love it so,5
1a691d0f-b97d-4fa8-a869-4c71f79a5137,Good,5
a5afea9a-3731-4c93-9e90-bc1db9d9875a,Beautiful messenger,1
28b770f0-b7c6-42b8-8fe6-fd1328318f54,"For now i gave 2 star, it's good to use for communication, but now it's difficult to log in to apps, even if you uninstall and install again, you still can't log in, can you please fix the problem with your apps now.. it's good to use. the apps but now it's difficult and I can't log in anymore. I hope the problem of the apps will be fixed so that it can be used again the same as before.. thank you.",2
aeb9f050-7fec-4e3b-bf2d-77f557252ecc,Nice and you can call,5
fae3eb30-ec59-4165-bc91-af3eac794e98,Good,4
a22b6c49-8418-411c-a8e9-9176428048f8,Nice,5
0a878566-9bb2-4f8e-9b48-11701b2210ee,"Having problem switching accounts. Everytime i switch accounts it always say ""something went wrong"" and i cant switch account. I always need to Uninstall messenger and insta5it again just to switch account🙄",1
629d1277-6fc9-4b3b-b186-36f9a4582608,Ywa te hindi kona ma open!!,1
da97c0e1-8f06-4275-b993-7861fed27b69,🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹 🌹🌹🌹🌹🌹🌹🌹🌹906-857,5
9277d032-4f3c-4c09-9431-bef62f5d6278,Besides messenger wanting to see all of your data the new user interface is being garbage. It was one like a regular phone call answer and hangup and now it's beyond asinine and makes you want to sell the rest of your meta stock,1
af23e400-e3df-485e-b775-aa4630f8ce42,Just very convenient!,5
97be168d-92fc-45a1-9521-0080b3e7fc63,Khankirpola ra amr hedar apps ber korsos chotmarin baccha ra glitch er chodone ei hedar apps use e kora jay na glitch togo mar heda diya voira dmu magir polara 😾,5
cda8465b-8f4d-4926-9f61-38a249e4aadd,Nice app 👍👍,5
2805ac24-ed32-489e-82bb-33f311ab0f3f,greit,5
7b1d6681-886d-4433-a5eb-ef4e2fe17545,Love,5
d5ac4dc0-d514-4b3d-b3b2-495a60ae44ce,"Messenger is very important to Ur love ones and Ur family, friends more relatives.",5
b4b2b848-7afe-4c3f-9e84-b65cb9be8992,My messenger is not functioning rigt now That all,4
ce8ed6cc-06b6-494e-97df-d12ecafab92a,madalas maglag nakakainis,1
752de55c-9a44-4a45-87a8-b99f57d054e7,Good jod,5
c94c3aeb-73ec-4609-9af1-4ec25a3020b8,I couldn't login into my Facebook account..please fixed it Quickly..As Soon As Possible,1
db6bc8ff-19f2-4011-ad0a-e73ac73b6478,Good apps,5
bd3f6379-1fd0-4696-9c3f-8d44d0bf1a84,Fain,5
5c2b03a7-111c-40e7-95e9-710f83d71518,"Too much bug for this app, there's a lot u must fix with this app",1
8c99625d-b371-4d79-94f7-d07fc2bc7c83,"It's so bad, girls Don't reply to my message",1
3e534ec7-06d4-4d10-b14b-0f4b3665de35,Very nice & useful,5
bcadbda2-00e9-41f3-94b7-86f92e22f1db,Cant listen sound in voice message..,1
5f42d86a-2907-49aa-9879-c13e2051f4d3,Fec,1
3b3b9b14-d062-443e-b568-e23feec9c63f,Dilbr.kumar,5
101997ac-e551-45a6-8f04-fc0d4dfb7d7b,Good.,4
9ce95d71-a86f-46a5-9066-61f2f7622dd4,This best app,5
9200f233-6670-42b4-9038-94fb7f5cc40b,# savesheikhjarrah #Sauver_le_quartier_de_SheikhJarrah أدين و أرفض سياسة فيسبوك المنحازة ضد الشعب الفلسطينى. This application is unfairly biased towards Israel against The Palestinians.... just because its chairman and Chef Executive Officer are Jewish #معركة_الوعي #Ghazaunderattack يلا بينا 🔥✌️,1
94b3f04e-7e7f-4417-a67a-7b6d41944ffd,Ang gunthe ko 😍😍,4
b9453f5c-f84b-43bc-bb5c-e259aedb0d71,Good to use free to communicate as well.. Its a good apps.,5
090eb79e-d783-4ae1-90a3-ee3062fbfa5b,Good,5
c5cd70eb-8b9a-4480-8db7-ae1ad98f0e86,Nice,4
fb1d4f23-a910-40cb-9f65-da482f2ac506,Valo,3
bcbafd65-b069-4b33-984f-5dee5080350e,make messenger great again.,2
7945a9e7-cf7e-45fc-b0dc-fe9d77cb3232,Nice good,5
